y,z,time
0.361328125,0.1339111328,1591668389765
0.435546875,0.01306152343,1591668389919
0.5610351563,-0.04138183593,1591668390073
0.5521240234,-0.03271484375,1591668390227
0.4294433594,0.09240722656,1591668390382
0.2476806641,0.1643066406,1591668390537
0.2584228516,0.02624511718,1591668390691
0.3299560547,-0.021484375,1591668390846
0.4244384766,-0.05346679687,1591668391001
0.51953125,0.03564453125,1591668391156
0.5046386719,0.1828613281,1591668391311
0.3524169922,0.2464599609,1591668391467
0.2163085938,0.2482910156,1591668391622
0.1978759766,0.04504394531,1591668391778
0.3038330078,-0.02575683593,1591668391934
0.4643554688,-0.04821777343,1591668392089
0.4670410156,-0.01062011718,1591668392245
0.4191894531,0.09912109375,1591668392401
0.3364257813,0.1752929688,1591668392557
0.2414550781,0.1254882813,1591668392714
0.2113037109,0.07958984375,1591668392870
0.2287597656,-0.02551269531,1591668393026
0.3841552734,-0.01379394531,1591668393182
0.4750976563,-0.03051757812,1591668393339
0.4732666016,0.03002929687,1591668393496
0.3913574219,0.1281738281,1591668393653
0.298828125,0.1398925781,1591668393810
0.2326660156,0.03967285156,1591668393967
0.2778320313,-0.04760742187,1591668394124
0.4324951172,-0.06958007812,1591668394282
0.5174560547,-0.06945800781,1591668394439
0.4407958984,0.08288574218,1591668394597
0.3071289063,0.1682128906,1591668394755
0.2121582031,0.1500244141,1591668394913
0.25390625,0.04211425781,1591668395071
0.3326416016,-0.01904296875,1591668395229
0.4840087891,-0.03735351562,1591668395387
0.546875,0.01171875,1591668395546
0.6047363281,0.1960449219,1591668395704
0.3763427734,0.1861572266,1591668395863
0.2453613281,0.1639404297,1591668396021
0.2789306641,0.03430175781,1591668396180
0.3646240234,-0.04809570312,1591668396339
0.3767089844,-0.04821777343,1591668396498
0.3947753906,0.03466796875,1591668396658
0.4307861328,0.09460449218,1591668396817
0.3406982422,0.1257324219,1591668396976
0.2125244141,0.1563720703,1591668397136
0.2868652344,0.0390625,1591668397295
0.3355712891,-0.06115722656,1591668397455
0.4044189453,-0.02038574218,1591668397615
0.4997558594,0.02416992187,1591668397775
0.4169921875,0.06518554687,1591668397935
0.2940673828,0.09497070312,1591668398095
0.1995849609,0.1741943359,1591668398256
0.2727050781,0.05065917968,1591668398416
0.3195800781,-0.02368164062,1591668398577
0.4197998047,0.00085449218,1591668398737
0.5003662109,0.02172851562,1591668398898
0.4102783203,0.06311035156,1591668399059
0.2928466797,0.1041259766,1591668399220
0.1958007813,0.1627197266,1591668399381
0.2711181641,0.07116699218,1591668399542
0.3549804688,-0.00390625,1591668399703
0.4254150391,0.00952148437,1591668399865
0.5098876953,0.01550292968,1591668400026
0.4294433594,0.06286621093,1591668400188
0.2939453125,0.08972167968,1591668400350
0.2124023438,0.1575927734,1591668400512
0.3017578125,0.00158691406,1591668400674
0.3637695313,-0.05017089843,1591668400836
0.4757080078,-0.00061035156,1591668400998
0.3450927734,0.06481933593,1591668401304
0.2280273438,0.1528320313,1591668401487
0.25390625,0.00964355468,1591668401672
0.3209228516,-0.0654296875,1591668401855
0.4578857422,0.01977539062,1591668402039
0.5198974609,0.02465820312,1591668402224
0.3332519531,0.09497070312,1591668402408
0.2042236328,0.1693115234,1591668402593
0.2589111328,0.1059570313,1591668402777
0.3077392578,-0.05993652343,1591668402962
0.3681640625,-0.03112792968,1591668403147
0.4267578125,-0.00659179687,1591668403332
0.3034667969,0.07336425781,1591668403517
0.1857910156,0.08471679687,1591668403702
0.2401123047,0.07800292968,1591668403887
0.4205322266,-0.00708007812,1591668404073
0.4453125,-0.02587890625,1591668404258
0.4395751953,0.04772949218,1591668404444
0.3469238281,0.1220703125,1591668404630
0.2237548828,0.099609375,1591668404816
0.2105712891,-0.01708984375,1591668405001
0.3343505859,-0.04211425781,1591668405187
0.4655761719,-0.03601074218,1591668405374
0.4378662109,0.05358886718,1591668405560
0.3594970703,0.1276855469,1591668405747
0.2626953125,0.1217041016,1591668405934
0.2087402344,-0.0107421875,1591668406120
0.2818603516,-0.04418945312,1591668406307
0.4095458984,-0.03540039062,1591668406494
0.4395751953,0.02661132812,1591668406681
0.4069824219,0.07116699218,1591668406869
0.3287353516,0.072265625,1591668407056
0.1982421875,-0.02282714843,1591668407244
0.3366699219,-0.02038574218,1591668407431
0.4473876953,0.02478027343,1591668407619
0.4705810547,0.0126953125,1591668407807
0.3334960938,0.1187744141,1591668407995
0.2202148438,0.1301269531,1591668408183
0.2055664063,0.03149414062,1591668408371
0.3029785156,-0.06359863281,1591668408560
0.4279785156,-0.00793457031,1591668408748
0.4963378906,-0.00610351562,1591668408936
0.3797607422,0.1057128906,1591668409125
0.2618408203,0.1865234375,1591668409314
0.2342529297,0.08337402343,1591668409502
0.2956542969,-0.08215332031,1591668409692
0.3779296875,-0.01062011718,1591668409881
0.4753417969,0.04907226562,1591668410070
0.3400878906,0.09619140625,1591668410259
0.2104492188,0.1330566406,1591668410449
0.248046875,0.00708007812,1591668410639
0.3413085938,0.00341796875,1591668410828
0.4178466797,0.02734375,1591668411018
0.345703125,-0.02233886718,1591668411208
0.2139892578,0.00598144531,1591668411398
0.2347412109,0.06127929687,1591668411588
0.3676757813,0.083984375,1591668411778
0.384765625,0.03259277343,1591668411968
0.4195556641,-0.05529785156,1591668412159
0.3127441406,-0.01965332031,1591668412349
0.2340087891,0.01147460937,1591668412540
0.2788085938,0.06433105468,1591668412731
0.3544921875,0.04650878906,1591668412921
0.4793701172,0.02709960937,1591668413113
0.5477294922,-0.03161621093,1591668413304
0.3798828125,0.04406738281,1591668413495
0.2064208984,0.07446289062,1591668413686
0.2255859375,0.04357910156,1591668413878
0.2952880859,0.04382324218,1591668414069
0.4599609375,0.06127929687,1591668414261
0.4635009766,0.03149414062,1591668414453
0.2785644531,0.03833007812,1591668414645
0.244140625,0.0947265625,1591668414837
0.2976074219,0.03723144531,1591668415029
0.3974609375,-0.0009765625,1591668415222
0.47265625,0.0146484375,1591668415414
0.3981933594,0.2727050781,1591668415750
0.2056884766,0.2830810547,1591668415964
0.2318115234,0.00061035156,1591668416178
0.3568115234,-0.09533691406,1591668416393
0.4617919922,0.08666992187,1591668416606
0.3771972656,0.2044677734,1591668416821
0.2321777344,0.1961669922,1591668417036
0.2481689453,0.01672363281,1591668417250
0.4050292969,-0.02221679687,1591668417465
0.5008544922,0.1047363281,1591668417681
0.3662109375,0.1588134766,1591668417896
0.2188720703,0.1976318359,1591668418111
0.244140625,0.02185058593,1591668418326
0.3284912109,-0.08679199218,1591668418541
0.4294433594,0.02380371093,1591668418757
0.4129638672,0.1612548828,1591668418973
0.3021240234,0.2199707031,1591668419188
0.2244873047,0.06750488281,1591668419404
0.3012695313,-0.08898925781,1591668419620
0.46875,0.0146484375,1591668419837
0.494140625,0.09326171875,1591668420052
0.3103027344,0.1724853516,1591668420269
0.2377929688,0.03503417968,1591668420485
0.3076171875,-0.07238769531,1591668420702
0.4302978516,-0.02868652343,1591668420918
0.4501953125,0.1374511719,1591668421135
0.2935791016,0.2004394531,1591668421352
0.2352294922,0.1767578125,1591668421569
0.2637939453,-0.04638671875,1591668421786
0.4516601563,-0.1055908203,1591668422004
0.4599609375,0.064453125,1591668422221
0.4119873047,0.2996826172,1591668422438
0.2449951172,0.2510986328,1591668422656
0.1684570313,0.01000976562,1591668422874
0.2849121094,-0.08410644531,1591668423091
0.4680175781,-0.02026367187,1591668423309
0.4254150391,0.1715087891,1591668423528
0.3217773438,0.1977539063,1591668423746
0.2524414063,0.03430175781,1591668423964
0.4028320313,-0.03747558593,1591668424183
0.4797363281,0.00646972656,1591668424401
0.4478759766,0.1148681641,1591668424620
0.3221435547,0.1396484375,1591668424838
0.2329101563,0.00366210937,1591668425058
0.3333740234,-0.04650878906,1591668425277
0.4403076172,-0.0419921875,1591668425496
0.4520263672,0.072265625,1591668425715
0.3481445313,0.1115722656,1591668425934
0.2454833984,0.03491210937,1591668426154
0.2491455078,-0.01928710937,1591668426373
0.4284667969,-0.04211425781,1591668426593
0.4338378906,0.05859375,1591668426813
0.3558349609,0.1063232422,1591668427033
0.2421875,0.01123046875,1591668427253
0.2789306641,-0.03820800781,1591668427473
0.4417724609,-0.04406738281,1591668427694
0.4686279297,0.00207519531,1591668427914
0.34765625,-0.01623535156,1591668428134
0.2333984375,-0.00561523437,1591668428355
0.5017089844,0.1247558594,1591668428576
0.6186523438,0.01232910156,1591668428797
0.5164794922,0.02307128906,1591668429018
0.3410644531,0.1428222656,1591668429239
0.2349853516,0.08911132812,1591668429460
0.3265380859,-0.04089355468,1591668429682
0.4217529297,-0.05981445312,1591668429903
0.4954833984,0.0810546875,1591668430125
0.3482666016,0.2030029297,1591668430346
0.2520751953,0.09497070312,1591668430569
0.2937011719,-0.1240234375,1591668430791
0.4028320313,-0.0517578125,1591668431012
0.5096435547,0.1339111328,1591668431234
0.3065185547,0.1756591797,1591668431457
0.2493896484,0.1169433594,1591668431679
0.2553710938,0.04016113281,1591668431902
0.3963623047,-0.02563476562,1591668432124
0.3907470703,0.1157226563,1591668432491
0.2048339844,0.1395263672,1591668432736
0.2565917969,0.04772949218,1591668432980
0.3824462891,0.00903320312,1591668433225
0.5025634766,-0.01904296875,1591668433469
0.3444824219,0.0390625,1591668433714
0.2308349609,0.05712890625,1591668433959
0.3889160156,-0.02319335937,1591668434204
0.4605712891,-0.03503417968,1591668434449
0.4287109375,0.03271484375,1591668434694
0.2642822266,0.1550292969,1591668434940
0.2974853516,0.0703125,1591668435185
0.3854980469,-0.06262207031,1591668435431
0.4862060547,0.01684570312,1591668435677
0.3679199219,0.1197509766,1591668435923
0.2233886719,0.1741943359,1591668436169
0.2963867188,0.00561523437,1591668436415
0.4166259766,-0.07104492187,1591668436661
0.4721679688,0.03454589843,1591668436907
0.3015136719,0.1290283203,1591668437154
0.2668457031,0.06213378906,1591668437401
0.3688964844,0.04296875,1591668437648
0.4769287109,0.05139160156,1591668437894
0.3383789063,0.03894042968,1591668438141
0.1492919922,0.1279296875,1591668438388
0.4229736328,0.3475341797,1591668438636
0.4915771484,0.2259521484,1591668438884
0.7520751953,0.05090332031,1591668439131
0.4278564453,0.1186523438,1591668439379
0.2084960938,0.1146240234,1591668439626
0.2884521484,0.00183105468,1591668439874
0.4808349609,0.02770996093,1591668440122
0.3967285156,0.07885742187,1591668440370
0.2279052734,0.1540527344,1591668440618
0.2446289063,-0.03601074218,1591668440866
0.4855957031,-0.01770019531,1591668441115
0.4266357422,0.09020996093,1591668441364
0.2641601563,0.1784667969,1591668441612
0.2236328125,0.00939941406,1591668441861
0.3546142578,-0.06726074218,1591668442109
0.5233154297,0.00048828125,1591668442358
0.3885498047,0.1087646484,1591668442607
0.2321777344,0.2296142578,1591668442856
0.2418212891,-0.04553222656,1591668443105
0.4851074219,-0.03015136718,1591668443355
0.4802246094,0.1361083984,1591668443604
0.2821044922,0.2136230469,1591668443854
0.2687988281,-0.0498046875,1591668444104
0.4029541016,-0.1010742188,1591668444354
0.5238037109,0.06994628906,1591668444603
0.3776855469,0.1943359375,1591668444854
0.2397460938,0.2015380859,1591668445104
0.2396240234,-0.04809570312,1591668445355
0.4476318359,-0.00463867187,1591668445605
0.4459228516,0.130859375,1591668445856
0.2321777344,0.15625,1591668446107
0.2691650391,-0.00048828125,1591668446357
0.3759765625,-0.02429199218,1591668446608
0.5004882813,0.04174804687,1591668446859
0.3369140625,0.1226806641,1591668447111
0.2233886719,0.1322021484,1591668447362
0.4060058594,-0.02954101562,1591668447614
0.4893798828,0.04443359375,1591668447865
0.4088134766,0.1057128906,1591668448117
0.2331542969,0.1599121094,1591668448368
0.2659912109,0.01977539062,1591668448620
0.3955078125,0.02392578125,1591668448873
0.4816894531,0.06127929687,1591668449125
0.2863769531,0.1072998047,1591668449377
0.2512207031,0.07482910156,1591668449630
0.3502197266,0.021484375,1591668449882
0.4519042969,0.0234375,1591668450135
0.4504394531,0.04138183593,1591668450387
0.1921386719,0.1876220703,1591668450641
0.3336181641,0.03662109375,1591668450894
0.4256591797,0.03271484375,1591668451147
0.3364257813,0.09753417968,1591668451544
0.2225341797,0.1574707031,1591668451818
0.3306884766,-0.01708984375,1591668452094
0.4688720703,-0.01391601562,1591668452369
0.3432617188,0.08422851562,1591668452644
0.1896972656,0.1435546875,1591668452919
0.3292236328,-0.01513671875,1591668453195
0.4517822266,0.01672363281,1591668453471
0.4197998047,0.06982421875,1591668453746
0.1896972656,0.1335449219,1591668454023
0.2463378906,0.04431152343,1591668454298
0.5128173828,0.02514648437,1591668454575
0.4245605469,0.1383056641,1591668454851
0.2541503906,0.1530761719,1591668455127
0.2836914063,-0.01904296875,1591668455403
0.4390869141,0.02600097656,1591668455680
0.4204101563,0.1265869141,1591668455957
0.2064208984,0.1862792969,1591668456234
0.2935791016,0.04565429687,1591668456510
0.3618164063,0.01342773437,1591668456787
0.4190673828,0.02124023437,1591668457065
0.197265625,-0.00268554687,1591668457340
0.3431396484,0.1579589844,1591668457612
0.3927001953,0.1164550781,1591668457883
0.3422851563,-0.04028320312,1591668458154
0.2087402344,0.01745605468,1591668458426
0.2442626953,0.03125,1591668458697
0.4334716797,0.05529785156,1591668458969
0.4810791016,-0.0087890625,1591668459241
0.2001953125,0.07092285156,1591668459513
0.3293457031,0.1357421875,1591668459785
0.3728027344,0.1136474609,1591668460057
0.54296875,-0.01440429687,1591668460330
0.3654785156,0.0986328125,1591668460602
0.3507080078,0.08361816406,1591668460874
0.3089599609,-0.02307128906,1591668461147
0.4951171875,0.087890625,1591668461419
0.3094482422,0.2266845703,1591668461692
0.2762451172,0.2072753906,1591668461965
0.2443847656,0.00061035156,1591668462238
0.4208984375,0.05725097656,1591668462511
0.4324951172,0.1677246094,1591668462784
0.2711181641,0.2479248047,1591668463057
0.2171630859,0.02307128906,1591668463330
0.4647216797,0.01098632812,1591668463604
0.4865722656,0.1365966797,1591668463878
0.2741699219,0.2785644531,1591668464152
0.2562255859,-0.06481933593,1591668464426
0.4709472656,-0.05383300781,1591668464700
0.400390625,0.1511230469,1591668464974
0.2205810547,0.2268066406,1591668465248
0.2918701172,-0.02001953125,1591668465523
0.4703369141,-0.04150390625,1591668465797
0.3920898438,0.1904296875,1591668466072
0.2473144531,0.2280273438,1591668466347
0.2351074219,-0.00866699218,1591668466621
0.4387207031,-0.0400390625,1591668466896
0.5083007813,0.05334472656,1591668467171
0.2464599609,0.2126464844,1591668467447
0.2907714844,-0.0029296875,1591668467722
0.4613037109,-0.02026367187,1591668467998
0.4444580078,0.1458740234,1591668468273
0.2889404297,0.2342529297,1591668468549
0.2746582031,-0.03552246093,1591668468825
0.4764404297,-0.03955078125,1591668469100
0.4642333984,0.1667480469,1591668469377
0.341796875,0.2625732422,1591668469652
0.2614746094,0.01940917968,1591668469929
0.4244384766,-0.0654296875,1591668470205
0.4370117188,0.06323242187,1591668470481
0.2650146484,0.142578125,1591668470758
0.3583984375,0.00378417968,1591668471035
0.4885253906,0.00732421875,1591668471311
0.4599609375,0.06176757812,1591668471588
0.1768798828,0.09069824218,1591668471865
0.3331298828,0.06494140625,1591668472142
0.4240722656,0.06555175781,1591668472420
0.3394775391,0.05322265625,1591668472838
0.2520751953,0.0693359375,1591668473136
0.3946533203,-0.02062988281,1591668473435
0.4711914063,0.00390625,1591668473734
0.2694091797,0.09948730468,1591668474033
0.314453125,-0.03100585937,1591668474332
0.4925537109,-0.01403808593,1591668474631
0.4555664063,0.04919433593,1591668474930
0.224609375,0.1868896484,1591668475230
0.3298339844,-0.09106445312,1591668475529
0.5161132813,-0.04431152343,1591668475828
0.3657226563,0.1185302734,1591668476128
0.2110595703,0.1127929688,1591668476428
